iter	Passed	Remaining
399	9065	13598
400	9088	13575
401	9106	13546
402	9125	13519
403	9157	13509
404	9187	13498
405	9208	13471
406	9229	13448
407	9248	13419
408	9272	13398
409	9304	13388
410	9327	13367
411	9347	13340
412	9366	13312
413	9388	13289
414	9411	13266
415	9438	13250
416	9463	13231
417	9483	13204
418	9507	13183
419	9526	13155
420	9546	13128
421	9566	13103
422	9609	13107
423	9629	13081
424	9647	13052
425	9666	13024
426	9692	13006
427	9744	13023
428	9777	13013
429	9801	12992
430	9823	12969
431	9843	12942
432	9862	12914
433	9897	12907
434	9923	12889
435	9943	12862
436	9963	12836
437	9982	12808
438	10005	12785
439	10040	12778
440	10061	12754
441	10080	12725
442	10100	12699
443	10123	12676
444	10153	12663
445	10185	12652
446	10206	12627
447	10229	12603
448	10252	12581
449	10270	12552
450	10290	12526
451	10324	12517
452	10351	12499
453	10371	12472
454	10390	12445
455	10410	12419
456	10440	12405
457	10471	12391
458	10490	12364
459	10508	12335
460	10527	12308
461	10550	12286
462	10580	12271
463	10609	12255
464	10630	12230
465	10651	12206
466	10670	12178
467	10689	12151
468	10710	12126
469	10738	12109
470	10770	12096
471	10791	12071
472	10810	12044
473	10830	12018
474	10852	11994
475	10886	11984
476	10909	11961
477	10930	11936
478	10953	11914
479	10976	11890
480	10997	11866
481	11030	11854
482	11048	11826
483	11074	11806
484	11093	11779
485	11112	11752
486	11132	11726
487	11176	11726
488	11196	11700
489	11215	11672
490	11233	11645
491	11255	11621
492	11276	11596
493	11310	11585
494	11331	11560
495	11353	11537
496	11373	11510
497	11394	11486
498	11413	11459
499	11447	11447
500	11472	11426
501	11493	11402
502	11512	11374
503	11533	11350
504	11555	11327
505	11593	11318
506	11617	11296
507	11636	11270
508	11655	11243
509	11674	11216
510	11692	11189
511	11724	11175
512	11753	11157
513	11774	11132
514	11792	11105
515	11816	11083
516	11836	11057
517	11866	11042
518	11891	11020
519	11922	11004
520	11943	10980
521	11963	10954
522	11982	10928
523	12003	10904
524	12036	10890
525	12063	10871
526	12082	10844
527	12102	10818
528	12125	10796
529	12145	10770
530	12175	10753
531	12199	10732
532	12225	10711
533	12245	10686
534	12264	10660
535	12286	10635
536	12318	10621
537	12344	10600
538	12367	10577
539	12385	10550
540	12404	10524
541	12425	10500
542	12462	10488
543	12482	10463
544	12501	10436
545	12523	10413
546	12545	10389
547	12563	10362
548	12589	10342
549	12616	10322
550	12640	10300
551	12661	10276
552	12682	10251
553	12702	10226
554	12726	10204
555	12762	10191
556	12783	10167
557	12801	10140
558	12821	10114
559	12842	10090
560	12870	10071
561	12895	10050
562	12918	10027
563	12938	10001
564	12962	9979
565	12983	9955
566	13005	9931
567	13038	9916
568	13060	9893
569	13081	9868
570	13100	9842
571	13119	9816
572	13139	9791
573	13176	9778
574	13198	9755
575	13217	9729
576	13236	9703
577	13255	9677
578	13285	9659
579	13317	9643
580	13335	9617
581	13355	9592
582	13379	9569
583	13398	9543
584	13416	9517
585	13451	9503
586	13471	9477
587	13497	9457
588	13514	9430
589	13534	9405
590	13553	9379
591	13596	9370
592	13617	9346
593	13637	9321
594	13659	9297
595	13682	9274
596	13708	9253
597	13740	9236
598	13759	9211
599	13778	9185
600	13798	9160
601	13817	9135
602	13840	9112
603	13878	9099
604	13907	9080
605	13925	9054
606	13944	9028
607	13962	9002
608	13981	8976
609	14012	8959
610	14041	8939
611	14061	8914
612	14081	8890
613	14106	8868
614	14124	8842
615	14158	8826
616	14178	8801
617	14197	8775
618	14222	8753
619	14241	8728
620	14259	8702
621	14290	8684
622	14323	8667
623	14342	8642
624	14361	8616
625	14379	8590
626	14400	8566
627	14439	8553
628	14458	8528
629	14477	8502
630	14500	8479
631	14520	8454
632	14544	8432
633	14582	8418
634	14602	8393
635	14623	8369
636	14653	8350
637	14674	8326
638	14714	8312
639	14755	8299
640	14814	8296
641	14880	8298
642	14932	8290
643	14969	8275
644	14989	8250
645	15023	8232
646	15055	8213
647	15076	8189
648	15098	8165
649	15118	8140
650	15147	8120
651	15185	8105
652	15205	8080
653	15228	8056
654	15247	8031
655	15311	8029
656	15347	8012
657	15369	7988
658	15394	7966
659	15411	7939
660	15426	7911
661	15441	7884
662	15455	7855
663	15481	7834
664	15502	7809
665	15518	7782
666	15533	7754
667	15552	7729
668	15572	7704
669	15588	7678
670	15608	7652
671	15630	7628
672	15654	7606
673	15672	7580
674	15691	7555
675	15708	7528
676	15725	7502
677	15744	7477
678	15768	7454
679	15791	7431
680	15811	7406
681	15828	7380
682	15851	7357
683	15866	7330
684	15882	7303
685	15906	7280
686	15924	7255
687	15939	7228
688	15955	7201
689	15972	7175
690	15989	7150
691	16006	7124
692	16030	7101
693	16050	7077
694	16069	7052
695	16084	7025
696	16100	6999
697	16117	6973
698	16137	6948
699	16153	6923
700	16182	6902
701	16202	6878
702	16219	6852
703	16238	6827
704	16254	6801
705	16270	6775
706	16285	6749
707	16303	6723
708	16331	6703
709	16351	6678
710	16367	6653
711	16382	6626
712	16398	6600
713	16414	6574
714	16429	6548
715	16447	6523
716	16469	6500
717	16492	6477
718	16508	6451
719	16523	6425
720	16538	6399
721	16554	6374
722	16571	6348
723	16586	6323
724	16607	6299
725	16626	6274
726	16641	6249
727	16666	6227
728	16688	6203
729	16703	6178
730	16721	6153
731	16743	6130
732	16768	6108
733	16784	6082
734	16803	6058
735	16823	6034
736	16839	6009
737	16857	5984
738	16881	5962
739	16902	5938
740	16919	5913
741	16937	5889
742	16956	5865
743	16976	5841
744	16996	5817
745	17013	5792
746	17037	5770
747	17065	5749
748	17086	5725
749	17105	5701
750	17124	5677
751	17146	5654
752	17167	5631
753	17202	5612
754	17220	5588
755	17246	5566
756	17266	5542
757	17287	5519
758	17311	5496
759	17348	5478
760	17376	5457
761	17399	5434
762	17418	5410
763	17442	5387
764	17468	5366
765	17500	5345
766	17522	5322
767	17545	5300
768	17568	5277
769	17590	5254
770	17634	5237
771	17658	5215
772	17676	5190
773	17697	5167
774	17724	5145
775	17755	5125
776	17786	5104
777	17804	5080
778	17838	5060
779	17874	5041
780	17909	5022
781	17937	5000
782	17955	4976
783	17973	4951
784	17990	4927
785	18010	4903
786	18026	4878
787	18050	4856
788	18072	4833
789	18096	4810
790	18114	4786
791	18133	4762
792	18152	4738
793	18171	4714
794	18194	4691
795	18218	4669
796	18247	4647
797	18266	4623
798	18285	4599
799	18303	4575
800	18324	4552
801	18345	4529
802	18378	4508
803	18398	4485
804	18415	4460
805	18433	4436
806	18459	4414
807	18477	4390
808	18497	4367
809	18522	4344
810	18541	4321
811	18559	4296
812	18576	4272
813	18593	4248
814	18611	4224
815	18628	4200
816	18655	4178
817	18679	4156
818	18697	4132
819	18714	4108
820	18734	4084
821	18753	4060
822	18791	4041
823	18812	4018
824	18830	3994
825	18845	3969
826	18865	3946
827	18883	3922
828	18900	3898
829	18916	3874
830	18937	3851
831	18957	3828
832	18986	3806
833	19008	3783
834	19029	3760
835	19048	3736
836	19071	3714
837	19115	3695
838	19135	3671
839	19155	3648
840	19180	3626
841	19214	3605
842	19247	3584
843	19272	3562
844	19296	3539
845	19318	3516
846	19353	3495
847	19384	3474
848	19412	3452
849	19432	3429
850	19453	3406
851	19476	3383
852	19520	3363
853	19544	3341
854	19565	3318
855	19585	3294
856	19617	3273
857	19643	3251
858	19676	3229
859	19698	3206
860	19730	3185
861	19751	3162
862	19783	3140
863	19832	3121
864	19877	3102
865	19896	3078
866	19922	3056
867	19945	3033
868	19963	3009
869	19992	2987
870	20022	2965
871	20044	2942
872	20064	2918
873	20085	2895
874	20121	2874
875	20157	2853
876	20188	2831
877	20208	2807
878	20228	2784
879	20256	2762
880	20363	2750
881	20461	2737
882	20523	2719
883	20590	2701
884	20676	2686
885	20728	2667
886	20812	2651
887	20854	2630
888	20895	2609
889	20972	2592
890	21037	2573
891	21056	2549
892	21075	2525
893	21099	2501
894	21136	2479
895	21159	2455
896	21183	2432
897	21205	2408
898	21223	2384
899	21246	2360
900	21279	2338
901	21302	2314
902	21327	2290
903	21347	2266
904	21365	2242
905	21385	2218
906	21432	2197
907	21451	2173
908	21471	2149
909	21493	2125
910	21513	2101
911	21545	2078
912	21570	2055
913	21593	2031
914	21613	2007
915	21635	1984
916	21657	1960
917	21683	1936
918	21713	1913
919	21736	1890
920	21758	1866
921	21778	1842
922	21797	1818
923	21815	1794
924	21850	1771
925	21879	1748
926	21898	1724
927	21917	1700
928	21938	1676
929	21961	1652
930	21991	1629
931	22014	1606
932	22036	1582
933	22058	1558
934	22077	1534
935	22096	1510
936	22128	1487
937	22160	1464
938	22180	1440
939	22202	1417
940	22221	1393
941	22244	1369
942	22278	1346
943	22304	1323
944	22323	1299
945	22342	1275
946	22369	1251
947	22392	1228
948	22426	1205
949	22447	1181
950	22470	1157
951	22490	1133
952	22509	1110
953	22537	1086
954	22574	1063
955	22593	1039
956	22614	1016
957	22633	992
958	22655	968
959	22687	945
960	22717	921
961	22736	898
962	22755	874
963	22780	850
964	22800	826
965	22831	803
966	22859	780
967	22882	756
968	22903	732
969	22921	708
970	22943	685
971	22982	662
972	23002	638
973	23021	614
974	23042	590
975	23061	567
976	23086	543
977	23120	520
978	23148	496
979	23169	472
980	23194	449
981	23213	425
982	23234	401
983	23262	378
984	23298	354
985	23321	331
986	23340	307
987	23361	283
988	23380	260
989	23414	236
990	23444	212
991	23463	189
992	23486	165
993	23509	141
994	23531	118
995	23563	94
996	23586	70
997	23608	47
998	23629	23
999	23654	0
